File Path,File Name,Title,Splunk Query
C:\SigmaRules\sigma\rules\application\django\appframework_django_exceptions.yml,appframework_django_exceptions.yml,Django Framework Exceptions,SuspiciousOperation OR DisallowedHost OR DisallowedModelAdminLookup OR DisallowedModelAdminToField OR DisallowedRedirect OR InvalidSessionKey OR RequestDataTooBig OR SuspiciousFileOperation OR SuspiciousMultipartForm OR SuspiciousSession OR TooManyFieldsSent OR PermissionDenied
C:\SigmaRules\sigma\rules\application\jvm\java_jndi_injection_exploitation_attempt.yml,java_jndi_injection_exploitation_attempt.yml,Potential JNDI Injection Exploitation In JVM Based Application,com.sun.jndi.ldap. OR org.apache.logging.log4j.core.net.JndiManager
C:\SigmaRules\sigma\rules\application\jvm\java_local_file_read.yml,java_local_file_read.yml,Potential Local File Read Vulnerability In JVM Based Application,FileNotFoundException /../../..
C:\SigmaRules\sigma\rules\application\jvm\java_ognl_injection_exploitation_attempt.yml,java_ognl_injection_exploitation_attempt.yml,Potential OGNL Injection Exploitation In JVM Based Application,org.apache.commons.ognl.OgnlException OR ExpressionSyntaxException
C:\SigmaRules\sigma\rules\application\jvm\java_rce_exploitation_attempt.yml,java_rce_exploitation_attempt.yml,Process Execution Error In JVM Based Application,Cannot run program OR java.lang.ProcessImpl OR java.lang.ProcessBuilder
C:\SigmaRules\sigma\rules\application\jvm\java_xxe_exploitation_attempt.yml,java_xxe_exploitation_attempt.yml,Potential XXE Exploitation Attempt In JVM Based Application,SAXParseException OR DOMException
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_change_admission_controller.yml,kubernetes_audit_change_admission_controller.yml,Kubernetes Admission Controller Modification,"objectRef.apiGroup=admissionregistration.k8s.io objectRef.resource IN (mutatingwebhookconfigurations, validatingwebhookconfigurations) verb IN (create, delete, patch, replace, update)"
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_cronjob_modification.yml,kubernetes_audit_cronjob_modification.yml,Kubernetes CronJob/Job Modification,"objectRef.apiGroup=batch objectRef.resource IN (cronjobs, jobs) verb IN (create, delete, patch, replace, update)"
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_deployment_deleted.yml,kubernetes_audit_deployment_deleted.yml,Deployment Deleted From Kubernetes Cluster,verb=delete objectRef.resource=deployments
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_events_deleted.yml,kubernetes_audit_events_deleted.yml,Kubernetes Events Deleted,verb=delete objectRef.resource=events
